painting,paintinglabel,tot
http://www.wikidata.org/entity/Q66107722,Entrance into the Ark,1488
http://www.wikidata.org/entity/Q18809786,Entry into Noah's Ark,998
http://www.wikidata.org/entity/Q321303,The Garden of Earthly Delights,851
http://www.wikidata.org/entity/Q27980267,Unknown Title,758
http://www.wikidata.org/entity/Q2510869,Concert in the Egg,747
http://www.wikidata.org/entity/Q20170089,The Ark,723
http://www.wikidata.org/entity/Q463392,Paradiesgärtlein,723
http://www.wikidata.org/entity/Q18917077,The Garden of Eden and the Creation of Eve,721
http://www.wikidata.org/entity/Q29656879,Earth or The Earthly Paradise,706
http://www.wikidata.org/entity/Q49842824,Hunter and Hounds being Judged,704
http://www.wikidata.org/entity/Q18573212,The Animals Entering Noah's Ark,662
http://www.wikidata.org/entity/Q18810005,The Earthly Paradise,627
http://www.wikidata.org/entity/Q29654958,Noah's Ark; (Entry of the Animals into Noah’s Ark),612
http://www.wikidata.org/entity/Q3898507,The Garden of Eden with the Fall of Man,569
http://www.wikidata.org/entity/Q16916076,Marie Leszczyńska,543
http://www.wikidata.org/entity/Q29654961,Paradise on earth,537
http://www.wikidata.org/entity/Q19905421,The Nymph of Fontainebleau,537
http://www.wikidata.org/entity/Q78761267,Shaka Triad and the Sixteen Rakan,518
http://www.wikidata.org/entity/Q548141,The Dream,511
http://www.wikidata.org/entity/Q17320075,Orpheus and the Animals,507
http://www.wikidata.org/entity/Q17276115,Saint Catherine,506
http://www.wikidata.org/entity/Q102424260,The raven addresses the animals,495
http://www.wikidata.org/entity/Q17319828,The Fall of Man,493
http://www.wikidata.org/entity/Q112123146,Coronation of Diana,479
http://www.wikidata.org/entity/Q49851164,Execution of Hunter and Hounds,463
http://www.wikidata.org/entity/Q72929980,Still Life with a Dog and her Pups,460
http://www.wikidata.org/entity/Q18573715,Jupiter and Callisto,456
http://www.wikidata.org/entity/Q500985,The Hunters in the Snow,454
http://www.wikidata.org/entity/Q29644923,Unknown Title,451
http://www.wikidata.org/entity/Q63247314,Orpheus and the Animals,447
http://www.wikidata.org/entity/Q18549884,Leaving Home,445
http://www.wikidata.org/entity/Q3649298,A Hunting Scene,442
http://www.wikidata.org/entity/Q20171669,Hunting Scene,433
http://www.wikidata.org/entity/Q3066077,Peasant Family in an Interior,426
http://www.wikidata.org/entity/Q20188398,Lake Lucerne,417
http://www.wikidata.org/entity/Q2917717,The Bull,416
http://www.wikidata.org/entity/Q19911611,Christ in the Wilderness,413
http://www.wikidata.org/entity/Q1984131,Saint George and the Dragon,412
http://www.wikidata.org/entity/Q20174034,"Omnia Vincit Amor, or The Power of Love in the Three Elements",412
http://www.wikidata.org/entity/Q7920622,Venus and Music,410
http://www.wikidata.org/entity/Q17335284,Venus and Adonis,409
http://www.wikidata.org/entity/Q20354585,The Bard,403
http://www.wikidata.org/entity/Q266435,Peace Concluded,403
http://www.wikidata.org/entity/Q1924920,Counter-Composition of Dissonances XVI,400
http://www.wikidata.org/entity/Q58231290,Apollo Revealing his Divinity before the Shepherdess Isse,397
http://www.wikidata.org/entity/Q9372005,Venus and Mars,396
http://www.wikidata.org/entity/Q4462828,The Three Ages of Man and Death,393
http://www.wikidata.org/entity/Q26709850,Apotheosis of the French Heroes that Died for the Fatherland during the War of Liberation,391
http://www.wikidata.org/entity/Q6314660,Jupiter and Semele,382
http://www.wikidata.org/entity/Q20539430,Lion Hunt,381
http://www.wikidata.org/entity/Q18486188,Bonjour Julie,378
http://www.wikidata.org/entity/Q51919595,"A View in the Island of Jamaica, of Part of the River Cobre near Spanish Town",376
http://www.wikidata.org/entity/Q970808,The Flight into Egypt,375
http://www.wikidata.org/entity/Q63412586,Washington Rallying the Troops at Monmouth,373
http://www.wikidata.org/entity/Q17275909,Still Life with Huntsman,373
http://www.wikidata.org/entity/Q18822209,Venus Crying over the Death of Adonis,372
http://www.wikidata.org/entity/Q17330234,Noah's Ark,371
http://www.wikidata.org/entity/Q323155,Marienaltar,370
http://www.wikidata.org/entity/Q2528145,Allegory of Prudence,370
http://www.wikidata.org/entity/Q29857616,Unknown Title,369
http://www.wikidata.org/entity/Q17189254,Brothel Scene,368
http://www.wikidata.org/entity/Q64711686,Unknown Title,367
http://www.wikidata.org/entity/Q3885854,The Origin of the Milky Way,367
http://www.wikidata.org/entity/Q5703468,Helen of Troy,366
http://www.wikidata.org/entity/Q18627377,Penitent Saint Jerome,366
http://www.wikidata.org/entity/Q21671195,Landscape,364
http://www.wikidata.org/entity/Q20683317,Landscape after Ruisdael,362
http://www.wikidata.org/entity/Q3203447,Killing a Deer,361
http://www.wikidata.org/entity/Q19391665,Salome Dancing,359
http://www.wikidata.org/entity/Q19391724,Salome Dancing in front of Herod,359
http://www.wikidata.org/entity/Q20926427,Hilly wheat field,358
http://www.wikidata.org/entity/Q72560925,Unknown Title,356
http://www.wikidata.org/entity/Q19391781,Salome,355
http://www.wikidata.org/entity/Q18539007,The Cold Drink,354
http://www.wikidata.org/entity/Q115265178,Unknown Title,353
http://www.wikidata.org/entity/Q18545742,The Hunt Picnic,353
http://www.wikidata.org/entity/Q18665719,A Mountain Landscape with an Approaching Storm,353
http://www.wikidata.org/entity/Q2622161,Saint George and the Dragon,350
http://www.wikidata.org/entity/Q120966695,Khy Khusraw crosses the sea,350
http://www.wikidata.org/entity/Q20765746,The Great Oak,348
http://www.wikidata.org/entity/Q29857648,Unknown Title,347
http://www.wikidata.org/entity/Q2622172,The Bellelli Family,346
http://www.wikidata.org/entity/Q19863052,Bathsheba,345
http://www.wikidata.org/entity/Q59925280,"Cortejo Nupcial de Fazendeiros, 1825",344
http://www.wikidata.org/entity/Q27089307,The Apotheosis of Henri IV and the Proclamation of the Regency of Marie de Médicis,344
http://www.wikidata.org/entity/Q19912921,An Allegory,344
http://www.wikidata.org/entity/Q78880938,"“Harishchandra and his Minister Killing a Tiger,” folio from a Harishchandra Series",343
http://www.wikidata.org/entity/Q28802878,Hunter on Horseback Attacked by a Lion,342
http://www.wikidata.org/entity/Q29847869,Unknown Title,342
http://www.wikidata.org/entity/Q18599070,The Parade,342
http://www.wikidata.org/entity/Q3778533,La Guerre,340
http://www.wikidata.org/entity/Q3763893,"Garden of love at the court of Philippe the Good, Duke of Burgundy",340
http://www.wikidata.org/entity/Q27576620,Southern Seaport with Trinket Seller,339
http://www.wikidata.org/entity/Q51917814,"A View in the Island of Jamaica, of the Spring-Head of Roaring River on the Estate of William Beckford Esq.",339
http://www.wikidata.org/entity/Q27697934,Hunt at the Castle of Torgau in honour of Charles V,336
http://www.wikidata.org/entity/Q117377989,Al Buraq,336
http://www.wikidata.org/entity/Q18538706,The Hot Drink,335
http://www.wikidata.org/entity/Q21123298,Vanitas Still-Life,335
http://www.wikidata.org/entity/Q29839022,Unknown Title,333
http://www.wikidata.org/entity/Q18917839,Saint Mary Magdalene in Penance,333
