icomeaning,tot
https://w3id.org/iicongraph/data/promotionOfTourism,4572
https://w3id.org/iicongraph/data/promotionOfExhibitions,3604
https://w3id.org/iicongraph/data/promotionOfTourismPromotionBodies,3380
https://w3id.org/iicongraph/data/promotionOfInformationAndCommunication,2932
https://w3id.org/iicongraph/data/promotionOfFoodIndustry,2814
https://w3id.org/iicongraph/data/promotionOfCulturalEvents,2219
https://w3id.org/iicongraph/data/promotionOfTransport,2211
https://w3id.org/iicongraph/data/promotionOfSport,1928
https://w3id.org/iicongraph/data/promotionOfTrade,1911
https://w3id.org/iicongraph/data/promotionOfAgriculture,1694
https://w3id.org/iicongraph/data/promotionOfFreeTime,1648
https://w3id.org/iicongraph/data/promotionOfPublicAdministration,1538
https://w3id.org/iicongraph/data/promotionOfShow,1505
https://w3id.org/iicongraph/data/promotionOfRailwayReductions,1470
https://w3id.org/iicongraph/data/promotionOfChemicalIndustry,1427
https://w3id.org/iicongraph/data/promotionOfDrinks,1351
https://w3id.org/iicongraph/data/promotionOfCrafts,1337
https://w3id.org/iicongraph/data/promotionOfIndustry,1212
https://w3id.org/iicongraph/data/promotionOfCompetitions,1165
https://w3id.org/iicongraph/data/promotionOfPublishing,1125
https://w3id.org/iicongraph/data/promotionOfPolitics,1117
https://w3id.org/iicongraph/data/promotionOfLandTransport,1056
https://w3id.org/iicongraph/data/promotionOfRailwayCompany,1032
https://w3id.org/iicongraph/data/promotionOfMountain,1010
https://w3id.org/iicongraph/data/promotionOfTheater,1000
https://w3id.org/iicongraph/data/promotionOfTextileIndustry,853
https://w3id.org/iicongraph/data/promotionOfPoliticalParties,791
https://w3id.org/iicongraph/data/promotionOfMusic,771
https://w3id.org/iicongraph/data/promotionOfMechanicalIndustry,744
https://w3id.org/iicongraph/data/promotionOfArtShow,729
https://w3id.org/iicongraph/data/promotionOfFinancialAndInsuranceActivities,709
https://w3id.org/iicongraph/data/promotionOfLocalSocieties,690
https://w3id.org/iicongraph/data/promotionOfCentralAdministration,661
https://w3id.org/iicongraph/data/promotionOfEconomicAssociations,649
https://w3id.org/iicongraph/data/promotionOfParties,604
https://w3id.org/iicongraph/data/promotionOfSocialAssociations,568
https://w3id.org/iicongraph/data/promotionOfPoliticalPropaganda,568
https://w3id.org/iicongraph/data/promotionOfMeansOfTransport,534
https://w3id.org/iicongraph/data/promotionOfWar,524
https://w3id.org/iicongraph/data/promotionOfCulturalAssociations,518
https://w3id.org/iicongraph/data/promotionOfClothing,514
https://w3id.org/iicongraph/data/promotionOfSea,497
https://w3id.org/iicongraph/data/promotionOfLiquors,497
https://w3id.org/iicongraph/data/promotionOfMunicipalAdministration,493
https://w3id.org/iicongraph/data/promotionOfMaritimeTransport,477
https://w3id.org/iicongraph/data/promotionOfPainting,465
https://w3id.org/iicongraph/data/promotionOfFascistPropaganda,463
https://w3id.org/iicongraph/data/promotionOfNavigationCompany,463
https://w3id.org/iicongraph/data/promotionOfCelebrations,438
https://w3id.org/iicongraph/data/promotionOfDemonstrations,429
https://w3id.org/iicongraph/data/promotionOfElectoralPropaganda,413
https://w3id.org/iicongraph/data/promotionOfBanks,402
https://w3id.org/iicongraph/data/promotionOfInstitutions,386
https://w3id.org/iicongraph/data/promotionOfCulturalInstitutions,381
https://w3id.org/iicongraph/data/promotionOfMotoring,365
https://w3id.org/iicongraph/data/promotionOfHorseRacing,364
